,i,itr,dvfs,rate,policy,nwindows,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,WindownumRecordsInPerSecond_avg,WindownumRecordsInPerSecond_std,WindownumRecordsOutPerSecond_avg,WindownumRecordsOutPerSecond_std,WindowbusyTimeMsPerSecond_avg,WindowbusyTimeMsPerSecond_std,WindowbackPressuredTimeMsPerSecond_avg,WindowbackPressuredTimeMsPerSecond_std,WindowbusyTime_%,WindowbackPressuredTime_%,Windowlength
0,0,1,1.0,2000,ondemand,8,48.14,6.79,15.24,0.99,336.84722222222223,38.202081241563064,0.0,0.0,2.1527777777777777,1.3761332171977112,0.0,0.0,0.2152777777777777,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.1111111111111,44.73722608408669,673.9093750000001,76.63640746056933,230.0592320261438,124.83674495534574,0.0,0.0,23.005923202614376,0.0,60
1,0,1,1.0,4000,ondemand,8,64.0,4.86,16.38,0.41,726.6509837962964,3.7429042518804874,0.0,0.0,1.6944444444444444,0.6104881682392428,0.0,0.0,0.16944444444444437,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.6271990740741,74.10659145264009,1452.6929398148147,25.387788816245635,437.0571895424837,155.39368539500583,0.0,0.0,43.70571895424837,0.0,60
2,0,2,1.2,2000,userspace,8,44.14,2.55,16.33,0.46,408.7206597222222,173.76261259719348,0.0,0.0,2.173611111111111,1.161431782307891,0.0,0.0,0.21736111111111106,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0759531590414,42.736746127017874,698.4714733115469,114.74823117389548,476.87745098039215,224.1088524824101,0.0,0.0,47.68774509803922,0.0,60
3,0,2,1.4,2000,userspace,8,45.56,3.63,16.13,0.63,415.5530092592593,189.3258967415532,0.0,0.0,2.375,1.4050754680533393,0.0,0.0,0.2375,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.25383306100213,43.58974881028017,686.7714120370371,92.95288006050126,404.8492647058823,212.48974090564653,0.0,0.0,40.48492647058824,0.0,60
4,0,2,1.6,2000,userspace,8,45.16,4.73,15.83,0.88,337.4180555555556,37.513427465524416,0.0,0.0,1.722222222222222,0.5979458061254382,0.0,0.0,0.1722222222222222,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.00512663398692,43.26776076712799,675.8876225490196,74.49519752209054,332.16053921568624,164.83681315753424,0.0,0.0,33.21605392156863,0.0,60
5,0,2,1.8,2000,userspace,8,46.56,4.86,15.67,0.86,409.76921296296297,175.27675377246584,0.0,0.0,2.3576388888888893,2.2058723836923013,0.0,0.0,0.23576388888888886,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.37546296296296,43.887552582650216,688.4584490740741,95.96444188542787,333.22549019607845,194.13227716085842,0.0,0.0,33.32254901960785,0.0,60
6,0,2,2.0,2000,userspace,8,46.64,6.07,15.46,1.03,338.40625,36.042673563067424,0.0,0.0,1.2847222222222223,0.4715858452631369,0.0,0.0,0.12847222222222215,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.74351851851853,44.61188415671792,676.8506944444443,72.61632919676575,280.76919934640523,168.40155227117293,0.0,0.0,28.07691993464052,0.0,60
7,0,2,2.2,2000,userspace,8,46.6,6.5,15.24,1.06,337.9755787037037,37.67169148351795,0.0,0.0,1.34375,0.45520278021472793,0.0,0.0,0.134375,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.8230324074074,42.85064057093305,675.9511574074074,75.63524444664176,250.03676470588235,132.3376367155942,0.0,0.0,25.003676470588236,0.0,60
8,0,2,2.4,2000,userspace,8,47.58,6.67,15.14,1.05,338.5644675925926,35.72899200273883,0.0,0.0,1.4375,0.489731656103907,0.0,0.0,0.14374999999999996,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.79918981481484,44.630956636945754,677.2412037037036,71.57735574720996,223.22222222222223,140.43565810620956,0.0,0.0,22.322222222222223,0.0,60
9,0,2,2.6,2000,userspace,8,47.54,7.19,14.95,1.1,337.7648726851852,38.17162565763814,0.0,0.0,1.2569444444444444,0.49131544779021885,0.0,0.0,0.12569444444444444,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.7542824074074,43.62919775200926,675.5297453703704,76.55772260170278,221.75,111.41673729387465,0.0,0.0,22.174999999999997,0.0,60
