,i,itr,dvfs,rate,policy,nwindows,CheckpointInterval,CheckpointMode,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,WindownumRecordsInPerSecond_avg,WindownumRecordsInPerSecond_std,WindownumRecordsOutPerSecond_avg,WindownumRecordsOutPerSecond_std,WindowbusyTimeMsPerSecond_avg,WindowbusyTimeMsPerSecond_std,WindowbackPressuredTimeMsPerSecond_avg,WindowbackPressuredTimeMsPerSecond_std,WindowbusyTime_%,WindowbackPressuredTime_%,Windowlength
0,0,1,1,6000,ondemand,4,5000,exactly_once,47.41,4.33,15.2,0.75,350.9077473958333,51.30212585198973,0.0,0.0,1.4010416666666665,0.656222846336669,0.0,0.0,0.14010416666666664,0.0,0.0,0.0,5882.978723404255,576.2384069766317,0.0,0.0,0.0,0.0,0.0,0.0,1464.638454861111,202.74422044037752,1403.6513020833336,205.58951478349664,403.3336657801418,88.4722548509987,0.0,0.0,40.333366578014186,0.0,20
1,0,1,1,6000,ondemand,8,5000,exactly_once,42.97,4.4,14.45,0.69,365.32320601851853,1.9808338980549243,0.0,0.0,1.7881944444444444,0.49810508989312346,0.0,0.0,0.17881944444444442,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.9175857843138,85.37363323516394,730.7284722222222,10.039998235014373,200.18831699346407,69.34317401658956,0.0,0.0,20.018831699346407,0.0,20
2,0,1,1,6000,ondemand,12,5000,exactly_once,40.69,4.64,14.15,0.69,362.84901620370374,2.894374773661576,0.0,0.0,1.625,0.5732887485593626,0.0,0.0,0.16249999999999998,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.9158179012345,66.49763150127264,484.9702932098766,10.45247861185195,132.6299019607843,57.47941418459081,0.0,0.0,13.262990196078432,0.0,20
3,0,1,1,6000,ondemand,16,5000,exactly_once,39.91,4.03,14.01,0.63,355.8050564236111,54.61041790026185,0.0,0.0,0.9999999999999999,0.4425238702352077,0.0,0.0,0.09999999999999996,0.0,0.0,0.0,5856.521739130435,611.3606257723847,0.0,0.0,0.0,0.0,0.0,0.0,365.7554904513889,70.26227632515287,355.7243055555556,54.58917008205022,106.20669880319149,50.59435612876101,0.0,0.0,10.620669880319149,0.0,20
4,0,1,1,12000,ondemand,4,5000,exactly_once,64.76,2.27,16.8,0.15,597.7819227430555,263.5663898801065,0.0,0.0,147.48828125,352.2558014241109,0.0,0.0,14.748828125000001,0.0,0.0,0.0,10148.666666666668,4067.096850613535,0.0,0.0,12.347826086956522,31.673756378115133,0.0,1.2347826086956522,2307.322752290189,1225.120864229168,2215.4444444444443,1185.272019496716,810.7814330866481,138.27388636340277,0.0,0.0,81.07814330866482,0.0,20
5,0,1,1,12000,ondemand,8,5000,exactly_once,57.84,4.33,15.9,0.57,728.0070023148149,2.04231586321028,0.0,0.0,1.9444444444444442,0.5602402516137257,0.0,0.0,0.1944444444444444,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.588888888889,79.15392529815523,1456.0865740740742,20.3069954672046,389.4861111111111,87.04752357100159,0.0,0.0,38.94861111111111,0.0,20
6,0,1,1,12000,ondemand,12,5000,exactly_once,54.83,4.42,15.28,0.62,737.9974537037037,18.124414224996237,0.0,0.0,2.8194444444444446,0.9022271379361135,0.0,0.0,0.28194444444444444,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.8031635802471,72.79103387828918,983.965586419753,30.17844241444288,266.7962962962963,73.87737030785571,0.0,0.0,26.679629629629634,0.0,20
7,0,1,1,12000,ondemand,16,5000,exactly_once,53.55,4.82,15.24,0.69,736.7212384259259,28.431156479639903,0.0,0.0,1.5659722222222223,0.5914108454764766,0.0,0.0,0.1565972222222222,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.6429976851852,55.82618256998054,737.0887731481482,24.36956456310959,206.83088235294116,61.483886805616116,0.0,0.0,20.683088235294115,0.0,20
8,0,1,1,18000,ondemand,4,5000,exactly_once,67.97,3.45,16.87,0.07,832.382523148148,36.127886612504355,0.0,0.0,1.7118055555555556,0.666034418123616,0.0,0.0,0.17118055555555553,0.0,0.0,0.0,13754.201960784312,566.3164341522559,0.0,0.0,914.7058823529412,16.623034004524293,0.0,91.47058823529412,3423.4900462962964,191.47347449272593,3327.4923611111117,153.67820384633984,910.5833333333333,98.47200624484867,0.0,0.0,91.05833333333332,0.0,20
9,0,1,1,18000,ondemand,8,5000,exactly_once,72.35,2.63,16.93,0.2,1097.788310185185,5.460889341378728,0.0,0.0,2.1909722222222223,0.6212769442616008,0.0,0.0,0.21909722222222217,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,13.764705882352942,21.90226797755323,0.0,1.3764705882352943,2249.858564814815,84.57469752876086,2195.6299768518516,29.025447655266184,617.6944444444446,117.47133593841042,0.0,0.0,61.769444444444446,0.0,20
