,i,itr,dvfs,rate,policy,nwindows,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,WindownumRecordsInPerSecond_avg,WindownumRecordsInPerSecond_std,WindownumRecordsOutPerSecond_avg,WindownumRecordsOutPerSecond_std,WindowbusyTimeMsPerSecond_avg,WindowbusyTimeMsPerSecond_std,WindowbackPressuredTimeMsPerSecond_avg,WindowbackPressuredTimeMsPerSecond_std,WindowbusyTime_%,WindowbackPressuredTime_%,Windowlength
0,0,1,1,2000,ondemand,4,29.45,3.3,13.31,0.54,121.06712962962962,2.3961003600768414,0.0,0.0,0.84375,0.4114846380704077,0.0,0.0,0.08437499999999995,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.3405092592593,73.01663513019126,484.1962962962963,10.091083788908636,137.41666666666669,52.982045968062216,0.0,0.0,13.741666666666667,0.0,20
1,0,1,1,2000,ondemand,8,29.06,3.4,13.17,0.54,121.66070601851852,1.3080837317603562,0.0,0.0,1.0902777777777777,0.38091738360435734,0.0,0.0,0.10902777777777775,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.2158564814815,44.85460370770103,243.32141203703702,4.937589982903653,73.47875816993464,37.738576393735954,0.0,0.0,7.347875816993463,0.0,20
2,0,1,1,2000,ondemand,16,27.1,3.1,12.95,0.49,133.6329861111111,22.621955660018102,0.0,0.0,0.7881944444444444,0.49615263157942047,0.0,0.0,0.07881944444444441,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.31047453703704,31.40909576769277,133.63078703703704,22.623478004849787,78.76348039215686,83.17291605890581,0.0,0.0,7.876348039215686,0.0,20
3,0,1,1,4000,ondemand,4,39.76,4.35,14.47,0.72,243.0596064814815,2.219330552581228,0.0,0.0,1.1631944444444444,0.3662338723628644,0.0,0.0,0.11631944444444442,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.9763888888889,102.59042851861909,976.3125,15.074808557408772,285.2924836601307,67.17436216114693,0.0,0.0,28.52924836601307,0.0,20
4,0,1,1,4000,ondemand,8,35.39,3.94,13.89,0.64,243.02899305555556,3.544330807545406,0.0,0.0,1.2326388888888888,0.4153333294799336,0.0,0.0,0.12326388888888887,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0927083333334,73.5991422055811,486.51307870370374,11.7284855876308,139.71078431372547,51.851086837869985,0.0,0.0,13.971078431372549,0.0,20
5,0,1,1,4000,ondemand,16,33.98,3.27,13.67,0.52,256.1804398148148,24.09818761639086,0.0,0.0,0.8958333333333334,0.4575412795958941,0.0,0.0,0.08958333333333329,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.07407407407408,54.751920451493746,256.1804398148148,24.09818761639086,109.42994281045752,82.65482177693927,0.0,0.0,10.94299428104575,0.0,20
6,0,1,1,8000,ondemand,4,54.6,3.82,15.91,0.59,487.0101273148148,1.6164443785764215,0.0,0.0,1.1736111111111112,0.504652682900439,0.0,0.0,0.11736111111111108,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.6129629629631,167.859731661,1947.2486111111114,16.889571907183115,535.1919934640523,104.87968930095452,0.0,0.0,53.51919934640523,0.0,20
7,0,1,1,8000,ondemand,8,47.96,4.42,14.97,0.68,486.5776041666667,1.328495393019224,0.0,0.0,1.3819444444444442,0.5387174101987604,0.0,0.0,0.13819444444444443,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.893287037037,106.14613090342162,973.2340277777778,13.085437903789071,273.10008169934645,76.76325512020412,0.0,0.0,27.31000816993464,0.0,20
8,0,1,1,8000,ondemand,16,43.91,4.39,14.48,0.63,486.65046296296293,10.590482714512424,0.0,0.0,1.0416666666666665,0.22593312091866868,0.0,0.0,0.10416666666666664,0.0,0.0,0.0,7994.526470588236,7.45606972731258,0.0,0.0,0.0,0.0,0.0,0.0,499.76770833333336,64.82104290549489,486.65046296296293,10.590482714512424,131.2261029411765,56.76886157965155,0.0,0.0,13.122610294117646,0.0,20
9,0,1,1,10000,ondemand,4,60.9,2.76,16.38,0.34,585.754296875,80.39549154201642,0.0,0.0,1.3697916666666667,0.6009255430666502,0.0,0.0,0.13697916666666665,0.0,0.0,0.0,9724.637681159422,1047.8972453637807,0.0,0.0,1.065217391304348,6.441719234169667,0.0,0.1065217391304347,2433.653125,308.6480275891648,2342.516579861111,322.7262074472978,674.6000664893617,110.18321277380433,0.0,0.0,67.46000664893617,0.0,20
10,0,1,1,10000,ondemand,8,52.32,4.42,15.28,0.66,607.2513888888889,1.4953343178771863,0.0,0.0,1.4236111111111112,0.6148019466812291,0.0,0.0,0.14236111111111105,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.1442129629631,95.62426661210945,1214.5815972222222,15.227770994481709,326.92156862745094,71.53784631470657,0.0,0.0,32.692156862745094,0.0,20
11,0,1,1,10000,ondemand,16,47.16,4.87,14.59,0.69,615.817650462963,20.258350371740228,0.0,0.0,1.125,0.3752364528868043,0.0,0.0,0.11249999999999996,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.2962962962963,60.30182704720544,615.817650462963,20.258350371740228,185.37602124183007,71.34745012127895,0.0,0.0,18.537602124183007,0.0,20
12,0,1,1,12000,ondemand,4,65.92,2.3,16.82,0.09,728.7186342592593,5.366147955768222,0.0,0.0,1.5798611111111112,0.5749966973077529,0.0,0.0,0.15798611111111108,0.0,0.0,0.0,12000.336274509804,1.3450980392158003,0.0,0.0,17.0,50.3411888429112,0.0,1.7000000000000002,2998.5618327886714,122.23093578759973,2912.4800381263617,38.466762444251565,811.9918300653595,100.59454084423116,0.0,0.0,81.19918300653595,0.0,20
13,0,1,1,12000,ondemand,8,57.41,4.31,15.75,0.58,727.5528356481482,2.7175114408529115,0.0,0.0,1.625,0.5293917333252225,0.0,0.0,0.16249999999999998,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.8640046296296,77.87821552037963,1455.1901620370372,22.309987958920214,397.58333333333337,85.72871019852724,0.0,0.0,39.75833333333334,0.0,20
14,0,1,1,12000,ondemand,16,52.97,4.37,15.12,0.65,727.7584490740741,14.876402612822229,0.0,0.0,1.090277777777778,0.37881160433900257,0.0,0.0,0.10902777777777775,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.062210648148,54.40752472019177,727.7584490740741,14.876402612822229,201.03921568627453,63.71920775108633,0.0,0.0,20.10392156862745,0.0,20
15,0,1,1,14000,ondemand,4,68.24,2.83,16.85,0.06,794.2321180555556,21.988006866449183,0.0,0.0,2.107638888888889,0.619863156299797,0.0,0.0,0.21076388888888886,0.0,0.0,0.0,13026.523529411768,333.99556590041425,0.0,0.0,584.5882352941177,301.56475430338725,0.0,58.45882352941176,3274.83095043573,147.3651335260172,3181.7278867102395,100.70944241103821,926.6879084967321,89.37024355254815,0.0,0.0,92.66879084967321,0.0,20
16,0,1,1,14000,ondemand,8,62.93,3.74,16.27,0.45,849.6185763888889,2.6696805035469016,0.0,0.0,1.5972222222222223,0.5399257120182152,0.0,0.0,0.1597222222222222,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.5882352941176471,2.3529411764705883,0.0,0.0588235294117647,1750.0545138888888,82.21934196675117,1699.0113425925924,20.893733427088016,460.97181372549016,95.96660258316345,0.0,0.0,46.09718137254902,0.0,20
17,0,1,1,14000,ondemand,16,57.37,4.75,15.41,0.68,849.7678819444445,15.31326206465,0.0,0.0,1.2638888888888888,0.43911435108105235,0.0,0.0,0.12638888888888883,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.981423611111,56.756487526734645,849.7431712962964,15.04501946677741,237.84211601307192,70.52260355115455,0.0,0.0,23.78421160130719,0.0,20
