app i itr dvfs rapl latency joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
flink 0 1 0x1d00 135 6.04 4784.65 111333 159879496 24749 33466813 42486099055.0 45094011796.0 4498
flink 0 4 0x1d00 135 6.25 4791.65 111360 159883579 24819 33448410 45394349115.0 44464503402.0 4224
flink 0 1 0x1b00 135 5.38 4792.76 111113 159857386 23888 33418730 52882948894.0 54233501895.0 4199
flink 0 4 0x1b00 135 9.5 4713.85 111194 159864852 24168 33431410 42980213233.0 44596830025.0 4205
--------------------------------------
flink 0 1 0x1d00 135 5.96 4807.75 111285 159875638 24143 33439457 46318266768.0 48381925917.0 4213
flink 0 4 0x1d00 135 5.5 4741.82 111485 159896585 24618 33454143 46185647932.0 44802137990.0 4303
flink 0 1 0x1b00 135 6.92 4792.03 111256 159885421 23876 33413501 53682399389.0 55574628326.0 4145
flink 0 4 0x1b00 135 14.12 4801.34 111296 159874692 24117 33444837 45278829952.0 46454917880.0 4276
--------------------------------------
flink 0 1 0x1d00 135 7.29 4803.16 111370 159882739 24201 33436536 46200588346.0 48878141234.0 4258
flink 0 4 0x1d00 135 16.12 4717.94 111454 159889956 24758 33453382 43532983504.0 41703372744.0 4291
flink 0 1 0x1b00 135 14.46 4793.98 111364 159885085 24228 33458782 52674374605.0 55636788521.0 4325
flink 0 4 0x1b00 135 13.12 4792.98 111159 159864862 24096 33435086 42955194982.0 45134544719.0 4236
--------------------------------------
flink 0 1 0x1d00 135 3.92 4797.65 111322 159886294 24389 33459880 44939993399.0 46778324575.0 4290
flink 0 4 0x1d00 135 7.96 4769.66 111366 159882391 24871 33452988 45470078563.0 43314688753.0 4182
flink 0 1 0x1b00 135 7.5 4817.81 111026 159859741 23595 33417594 52090718816.0 54838234516.0 4093
flink 0 4 0x1b00 135 7.12 4746.48 111188 159866425 24232 33456396 47227457341.0 49671383309.0 4235
--------------------------------------
flink 0 1 0x1d00 135 7.96 4788.91 111321 159879969 24103 33438647 46828630818.0 47818516498.0 4244
flink 0 4 0x1d00 135 6.92 4727.23 111238 159872645 23931 33446078 45213294239.0 44051682660.0 4129
flink 0 1 0x1b00 135 9.08 4841.83 111263 159878760 24572 33450139 51368081139.0 54043026067.0 4280
flink 0 4 0x1b00 135 6.54 4794.07 111096 159870171 24226 33451330 40998420250.0 44070373972.0 4228
--------------------------------------
