,i,itr,dvfs,rate,policy,nwindows,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,WindownumRecordsInPerSecond_avg,WindownumRecordsInPerSecond_std,WindownumRecordsOutPerSecond_avg,WindownumRecordsOutPerSecond_std,WindowbusyTimeMsPerSecond_avg,WindowbusyTimeMsPerSecond_std,WindowbackPressuredTimeMsPerSecond_avg,WindowbackPressuredTimeMsPerSecond_std,WindowbusyTime_%,WindowbackPressuredTime_%,Windowlength
0,0,1,1,20000,ondemand,4,26.24,2.67,12.92,0.47,3619.2515625000005,17.415279303246322,0.0,0.0,4.065972222222222,0.596448392259535,0.0,0.0,0.40659722222222217,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,1.0555555555555556,1.8400550179643549,0.0,0.1055555555555555,5000.0,130.33479466095767,14443.988425925927,135.39591782837374,116.08333333333334,10.186134480358703,0.0,0.0,11.608333333333334,0.0,60
1,0,1,1,20000,ondemand,8,24.53,1.71,12.66,0.33,3609.403587962963,23.410380559798615,0.0,0.0,2.131944444444444,0.6643905283559737,0.0,0.0,0.2131944444444444,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.4444444444444444,0.8314794192830981,0.0,0.0444444444444444,2500.5901007625275,94.20091784199197,7211.77193627451,80.5529941898472,61.23488562091504,8.315851460331743,0.0,0.0,6.123488562091504,0.0,60
2,0,1,1,20000,ondemand,16,23.9,1.64,12.82,0.34,3615.572974537037,55.93051922199794,0.0,0.0,3.4583333333333335,0.6481288138074152,0.0,0.0,0.3458333333333333,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.6869212962965,85.96665205096767,3609.4799189814817,58.620986451281375,35.63194444444444,6.532694749652845,0.0,0.0,3.563194444444444,0.0,60
3,0,1,1,40000,ondemand,4,31.92,2.54,13.72,0.47,7251.217534722222,4.140438268319669,0.0,0.0,6.402777777777778,0.7936505023946516,0.0,0.0,0.6402777777777777,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,9.058823529411764,3.826695521715434,0.0,0.9058823529411764,9997.16158769063,166.4398561847221,29005.020901416123,111.41059225073158,221.45098039215688,12.53148230251278,0.0,0.0,22.14509803921569,0.0,60
4,0,1,1,40000,ondemand,8,29.2,1.94,13.52,0.4,7227.1819444444445,39.16050697490353,0.0,0.0,7.465277777777779,1.0415495930176535,0.0,0.0,0.7465277777777778,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,2.611111111111111,2.2395160411940416,0.0,0.2611111111111111,5000.0,143.4880112756672,14425.101967592593,124.64527443316608,115.8125,10.839909266545718,0.0,0.0,11.58125,0.0,60
5,0,1,1,40000,ondemand,16,28.04,1.62,13.34,0.37,7250.892997685185,63.74790894220293,0.0,0.0,2.8125,0.7352644449945802,0.0,0.0,0.28125,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.775200844226,114.20754048452679,7248.097678376906,65.64286842511737,64.21875,10.23609273209117,0.0,0.0,6.421875,0.0,60
6,0,1,1,80000,ondemand,4,43.48,2.65,-530.66,5957.59,14507.300289351853,26.138995801510895,0.0,0.0,11.645833333333332,1.4056037102342116,0.0,0.0,1.1645833333333333,0.0,0.0,0.0,79986.125,90.43305880594636,0.0,0.0,69.0,15.595583420386111,0.0,6.9,20004.258796296293,378.7638420458405,58029.20115740741,166.48795720813928,430.09722222222223,17.920023719476838,0.0,0.0,43.00972222222222,0.0,60
7,0,1,1,80000,ondemand,8,37.38,2.29,14.85,0.46,14522.671990740742,30.19286292788378,0.0,0.0,12.003472222222221,1.7154243312111839,0.0,0.0,1.2003472222222222,0.0,0.0,0.0,79959.09722222222,94.78304258693836,0.0,0.0,7.444444444444445,2.8131086447049247,0.0,0.7444444444444445,10004.093518518519,259.7893687928126,28892.538194444445,198.3960898109015,220.70833333333331,14.594371281732249,0.0,0.0,22.070833333333333,0.0,60
8,0,1,1,80000,ondemand,16,35.9,2.3,14.71,0.47,14528.555324074074,97.58930763066549,0.0,0.0,8.40625,0.9090223205908592,0.0,0.0,0.840625,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,1.5555555555555556,1.606314699422329,0.0,0.1555555555555555,5000.0,176.35821603365758,14528.555324074074,97.58930763066549,117.47222222222223,14.20362424163519,0.0,0.0,11.747222222222224,0.0,60
9,0,1,1,120000,ondemand,4,57.84,3.2,17.68,0.6,21805.957870370374,88.30335398340695,0.0,0.0,17.56597222222222,2.287745948165581,0.0,0.0,1.7565972222222221,0.0,0.0,0.0,119959.57450980392,118.50269875276216,0.0,0.0,128.64705882352942,20.0145275956964,0.0,12.864705882352942,29999.779765795207,426.08952382148453,87198.5473583878,359.8164762414057,673.6217320261438,25.09611967415219,0.0,0.0,67.36217320261439,0.0,60
