,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
10,0,2,1,1,100000,ondemand,16,7.07,0.11,1.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,3,1,1,100000,ondemand,16,7.07,0.11,1.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,1,1,100000,ondemand,24,32.22,1.18,3.56,0.12,99963.65130876067,80.19519211860322,0.0,0.0,35.184294871794876,3.6071742957769235,0.0,0.0,3.5184294871794872,0.0,0.0,0.0,99986.0298477564,183.70405601664908,0.0,0.0,2.1121794871794872,3.7722461686178645,0.0,0.21121794871794866,66650.11293625356,46.52412530516833,66650.11848290598,46.55715661012969,261.5523504273504,27.10601317148735,0.0,0.0,26.155235042735047,0.0
13,0,1,1,1,100000,ondemand,24,31.4,1.03,3.35,0.14,99999.91288728632,1.8226046331426453,0.0,0.0,74.91266025641025,3.079700447901266,0.0,0.0,7.491266025641025,0.0,0.0,0.0,99979.82100694443,32.72130755720113,0.0,0.0,0.30929487179487175,0.9883923118931792,0.0,0.030929487179487125,66646.50855591167,34.45668961002136,66646.4966613248,34.44992574913443,213.80662393162393,16.128223798040036,0.0,0.0,21.380662393162392,0.0
14,0,2,1,1,100000,ondemand,24,7.17,0.2,1.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,3,1,1,100000,ondemand,24,7.17,0.2,1.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,1,1,100000,ondemand,32,30.24,0.58,3.26,0.08,99999.24586004273,3.8866271854756906,0.0,0.0,68.4863782051282,3.650537431190254,0.0,0.0,6.84863782051282,0.0,0.0,0.0,99995.6296207265,8.626406971113267,0.0,0.0,0.6626602564102564,1.198107347778083,0.0,0.0662660256410256,49999.03804086539,3.332441093475539,49999.03480902778,3.3286327051860205,219.93910256410257,24.046213840106915,0.0,0.0,21.993910256410256,0.0
17,0,1,1,1,100000,ondemand,32,30.71,1.31,3.41,0.13,99999.42701655986,3.4358433667148924,0.0,0.0,82.4823717948718,3.6458643107328066,0.0,0.0,8.24823717948718,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,4.88701923076923,6.928655646193028,0.0,0.48870192307692306,50000.0,0.0,50000.0,0.0,216.0028044871795,49.77617781029707,0.0,0.0,21.60028044871795,0.0
18,0,2,1,1,100000,ondemand,32,7.1,0.13,1.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,1,1,200000,ondemand,4,44.41,5.68,4.35,0.14,107968.04937232907,2203.451368288249,0.0,0.0,87.99679487179488,5.75778130347047,0.0,0.0,8.799679487179487,0.0,0.0,0.0,107969.9388755342,2207.3037165716332,0.0,0.0,707.3508782883782,18.572702592902463,0.0,70.73508782883783,431861.05892094015,8829.239108269285,431861.05667735054,8829.235421393052,940.3108974358975,43.638257442182265,0.0,0.0,94.03108974358975,0.0
