,sleepdisable,i,itr,dvfs,rate,policy,nmappers,pkg_watts_avg,pkg_watts_std,ram_watts_avg,ram_watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
0,0,0,1,1,100,ondemand,4,25.72,0.88,4.53,0.16,49.9921875,0.016041197010450137,0.0,0.0,90.75347222222221,4.4404915942356435,0.0,0.0,9.075347222222222,0.0,0.0,0.0,99.9883510348584,0.028125389380274025,0.0,0.0,427.4795751633987,13.493735464173364,0.0,42.747957516339866,199.9678240740741,0.03131147054312465,199.9696759259259,0.03012980483716425,635.8333333333334,21.99649740651584,0.0,0.0,63.58333333333334,0.0
1,0,0,1,1,100,ondemand,8,22.27,0.68,3.25,0.1,49.993229166666666,0.02889882093618118,0.0,0.0,80.95486111111111,4.548399586592942,0.0,0.0,8.09548611111111,0.0,0.0,0.0,99.96482162309368,0.024137197304102936,0.0,0.0,135.27450980392157,3.5193258837912547,0.0,13.527450980392157,99.96979166666668,0.026403798197428375,99.9724537037037,0.027556192368755734,264.97222222222223,3.972965350530945,0.0,0.0,26.49722222222222,0.0
2,0,0,1,1,100,ondemand,12,21.74,0.75,3.16,0.11,49.97314814814815,0.060586588595206936,0.0,0.0,77.72222222222223,3.051990729244574,0.0,0.0,7.772222222222222,0.0,0.0,0.0,99.99456018518518,0.008308379562427675,0.0,0.0,51.64052287581699,6.119471483043421,0.0,5.1640522875817,66.60956790123456,0.06153900246563298,66.60987654320986,0.061734926905231156,224.72685185185185,8.80470399207586,0.0,0.0,22.472685185185185,0.0
3,0,0,1,1,100,ondemand,16,21.84,0.53,3.01,0.08,49.99976851851852,0.00095442259852255,0.0,0.0,77.57986111111111,3.883898868864634,0.0,0.0,7.757986111111111,0.0,0.0,0.0,99.94096541394336,0.03383030118997231,0.0,0.0,36.00490196078431,3.458987693025148,0.0,3.6004901960784315,49.99016203703704,0.041900180146269284,49.98935185185185,0.044671935978836425,159.25347222222223,5.397451095485232,3.9270833333333335,2.1491174834934164,15.925347222222221,0.3927083333333333
4,0,0,1,1,100,ondemand,24,22.57,0.67,3.32,0.13,50.0,0.0,0.0,0.0,76.15277777777777,3.414050088020963,0.0,0.0,7.615277777777777,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40.72017973856209,6.250626580868589,0.0,4.072017973856209,33.33333333333334,7.105427357601002e-15,33.33333333333334,7.105427357601002e-15,166.34490740740742,22.58362880287363,0.062499999999999965,0.2397124557556667,16.63449074074074,0.006249999999999971
5,0,0,1,1,100,ondemand,32,23.55,0.45,3.21,0.07,49.99427083333333,0.03817291055377827,0.0,0.0,119.86111111111111,9.978610458701155,0.0,0.0,11.986111111111112,0.0,0.0,0.0,99.897848583878,0.10553554495697191,0.0,0.0,6.910539215686274,4.804344368150595,0.0,0.6910539215686274,24.999913194444446,0.0367549099039914,24.998958333333334,0.03759011038388348,141.65277777777777,8.740616963056203,0.44791666666666663,1.058765351421262,14.165277777777778,0.04479166666666663
6,0,0,1,1,200,ondemand,4,42.61,2.83,6.68,0.28,90.82910879629631,1.207922083308124,0.0,0.0,165.30208333333331,13.150804087752825,0.0,0.0,16.530208333333334,0.0,0.0,0.0,181.6605187908497,2.4289295132420943,0.0,0.0,711.7908496732026,80.91925825619624,0.0,71.17908496732026,363.31782407407405,4.84113355493528,363.31875,4.841487960080615,940.8194444444445,44.59845197072604,0.0,0.0,94.08194444444445,0.0
7,0,0,1,1,200,ondemand,8,37.52,0.83,5.45,0.17,99.97858796296296,0.036598102354410134,0.0,0.0,164.07986111111111,4.806054802919826,0.0,0.0,16.40798611111111,0.0,0.0,0.0,199.9693287037037,0.052928201465257264,0.0,0.0,300.3267973856209,15.274955777732554,0.0,30.032679738562095,199.96469907407408,0.06594881049146048,199.96469907407408,0.06664325493590428,521.5277777777778,17.493903325945084,0.0,0.0,52.152777777777786,0.0
8,0,0,1,1,200,ondemand,12,38.52,0.73,5.78,0.09,99.9954861111111,0.024224823840055774,0.0,0.0,178.16319444444446,7.211017289748074,0.0,0.0,17.816319444444446,0.0,0.0,0.0,199.96875,0.04576982168206945,0.0,0.0,8.278186274509803,1.6330712045845475,0.0,0.8278186274509804,133.32083333333335,0.031299408667842074,133.32075617283954,0.0304021144804926,394.5092592592592,4.329272822861897,0.0,0.0,39.45092592592592,0.0
9,0,0,1,1,200,ondemand,16,36.93,1.44,5.48,0.26,100.00109953703704,0.011077411042330745,0.0,0.0,167.22222222222223,11.09284076225359,0.0,0.0,16.72222222222222,0.0,0.0,0.0,200.0,0.0,0.0,0.0,119.26184640522875,35.28452425116966,0.0,11.926184640522875,100.0,0.0,100.0,0.0,368.77430555555554,42.66740907996867,3.3090277777777777,3.0991237855456135,36.877430555555556,0.33090277777777777
